Time,States,Probability
16:04:01,NormalEngaged, 43.0%
16:04:01,VeryEngaged, 57.0%
16:04:02,NormalEngaged, 52.0%
16:04:03,NormalEngaged, 60.0%
16:04:04,VeryEngaged, 59.0%
16:04:04,VeryEngaged, 77.0%
16:04:05,VeryEngaged, 80.0%
16:04:05,VeryEngaged, 78.0%
16:04:05,VeryEngaged, 55.0%
16:04:08,VeryEngaged, 63.0%
16:04:08,VeryEngaged, 82.0%
16:04:09,VeryEngaged, 82.0%
16:04:09,VeryEngaged, 82.0%
16:04:09,VeryEngaged, 82.0%
16:04:10,VeryEngaged, 82.0%
16:04:10,VeryEngaged, 80.0%
16:04:10,VeryEngaged, 80.0%
16:04:11,VeryEngaged, 81.0%
16:04:11,VeryEngaged, 82.0%
16:04:12,VeryEngaged, 79.0%
16:04:12,VeryEngaged, 77.0%
16:04:12,VeryEngaged, 77.0%
16:04:13,VeryEngaged, 77.0%
16:04:13,VeryEngaged, 81.0%
16:04:13,VeryEngaged, 76.0%
16:04:14,VeryEngaged, 77.0%
